"fact_review_id","bank_id","branch_id","location_id","sentiment_id","review_text","relative_topic","topic_meaning","rating","review_date","language","bank_name","branch_name","location","sentiment_label"
"1","1","117","24","1","mauvaise service",0,"Qualité du service et relation client",1,"2021-05-27 00:00:00","fr","CIH Bank","CIH Bank 6 Bd el Qods, Resi.ibn Yassine, Casablanca 20000 ","6 Bd el Qods, Resi.ibn Yassine, Casablanca 20000 ","Negative"
"2","1","27","117","2","agence acfs en afrique du nord",0,"Qualité du service et relation client",1,"2024-07-27 00:00:00","fr","CIH Bank","CIH Bank Bd Mohamed Zefzaf Rue N18, Lotissement Rahmani, Lot 198, Casablanca 20000 ","Bd Mohamed Zefzaf Rue N18, Lotissement Rahmani, Lot 198, Casablanca 20000 ","Positive"
"3","1","25","13","1","faites attention à ce que vous signez en venant ici je suis venue opposer ma carte bancaire après perte et je me suis retrouvé avec une assistance sayidati dont je nai aucun besoin vu que je ne suis même pas motorisée lisez ce que vous signez sinon vous allez vous faire arnaquer",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank 7 Av. Al Abtal, Rabat 10000 ","7 Av. Al Abtal, Rabat 10000 ","Negative"
"4","1","91","65","1","service nul caissier qui ne peut même pas copier un rib correctement à partir du téléphone  à éviter",0,"Qualité du service et relation client",1,"2024-08-27 00:00:00","fr","CIH Bank","CIH Bank Rue de Goulmima Amperes, S.belyout, Casablanca 20000 ","Rue de Goulmima Amperes, S.belyout, Casablanca 20000 ","Negative"
"5","1","122","7","2","service haut de gamme",0,"Qualité du service et relation client",5,"2024-05-27 00:00:00","fr","CIH Bank","CIH BANK Lot N° 251, National Rte 1, Lotissement Al Wahda, Had Soualem 26402 ","Lot N° 251, National Rte 1, Lotissement Al Wahda, Had Soualem 26402 ","Positive"
"6","1","24","82","1","pas professionnel du tout les personnes qui voient cet avis évitent cette agence en particulier un mauvais service sans manières en particulier les dames du service commercial",0,"Qualité du service et relation client",1,"2025-04-29 00:00:00","fr","CIH Bank","CIH Bank Bd Hassan II, Settat 26000 ","Bd Hassan II, Settat 26000 ","Negative"
"7","12","71","111","1","lécran tactile du guichet automatique ne fonctionne pas mauvais service à lintérieur",0,"Qualité du service et relation client",1,"2024-05-11 00:00:00","fr","Bank Al Yousr","Bank Al Yousr - Agence Allal Al Fassi J2R2+83J, Bd Allal Al Fassi, Marrakech 40000 ","J2R2+83J, Bd Allal Al Fassi, Marrakech 40000 ","Negative"
"8","1","67","83","1","très mauvais service",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank Sidi Maarouf G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","G8GX+4P3، Av. Abou Bakr el Kadiri Route Principale 1029 Al Mostakbal,gh 4, Rdpt Al Moustakbal, Casablanca 20000 ","Negative"
"9","1","21","18","2","il y a un guichet automatique au nuit",1,"Autre sujet bancaire",4,"2025-02-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Allal Fassi Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Bd Allal Al Fassi Lotissement Hamza Lot Nâ°42, 40000 ","Positive"
"10","1","103","17","1","la pire banque du monde",1,"Autre sujet bancaire",1,"2024-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Gueliz Centrale 187 Av. Mohammed V, Marrakech 40000 ","187 Av. Mohammed V, Marrakech 40000 ","Negative"
"11","5","55","68","3","banque commerciale les employés utilisent parfois lexcuse de larrêt du système pour se débarrasser des embouteillages",3,"Frais bancaires et gestion des comptes",1,"2022-05-11 00:00:00","fr","Société Générale Maroc","Société Générale Ouled Oujih Lot 81, Bloc I, Kénitra 14090 ","Lot 81, Bloc I, Kénitra 14090 ","Neutral"
"12","1","51","67","2","le service çest bien",0,"Qualité du service et relation client",4,"2020-05-27 00:00:00","fr","CIH Bank","CIH Bank - Agence Kenitra Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Avenue Mohamed V Immeuble Hraga, Kénitra 14010 ","Positive"
"13","1","38","124","1","service lent",0,"Qualité du service et relation client",1,"2023-05-27 00:00:00","fr","CIH Bank","CIH Bank 796H+4X4, Kenitra ","796H+4X4, Kenitra ","Negative"
