location_id,address
1,9 rue jabal bouiblane valle ould amir street rabat
2,bd chefchaouni casablanca 20250
3,cited extension 359 amal 4 rabat 10150
4,x438jx3 victoria
5,avenue dalger rue kairaouane rabat 10020
6,2592r5r pl of russia rabat
7,x5w2x8m off de france rabat
8,ensemble immobilier mahaj riad 23 rabat 10100
9,trade imm 1 sis jaouhara subdivision av hassan ii témara 12020
10,x4wc78g rabat
11,x5w2x8p av ibn sina rabat
12,ii and  res walid c  angle avenue hassan bd abderrahmane serghini mohammedia
13,no 7 av assalam salé
14,angle avenue mohamed diouri and rue hamman el fatouki kenitra 14000
